model,removed_rank,trial,random_cross_reliance,random_cross_auc_change
dinov2_l,16,4,0.014156895410034103,-0.002396111143321056
dinov2_l,32,4,0.021440369992887696,-0.0050891770060297326
dinov2_l,56,4,0.029930338343891538,-0.02181213039192953
dinov2_l,1,5,0.003343847862044933,0.0015876840793135338
dinov2_l,2,5,0.005218036493080738,0.0006306890653988706
dinov2_l,4,5,0.007215640327568373,0.0005208937268089686
dinov2_l,8,5,0.01046074865540456,9.693152829315377e-05
dinov2_l,16,5,0.014404134316219046,0.0005190819225417975
dinov2_l,32,5,0.020883625688424348,-0.002676216083024263
dinov2_l,56,5,0.030304949819030227,-0.0024272741767161765
dinov2_l,1,6,0.002234610157679382,0.0005600286989796421
dinov2_l,2,6,0.004150173418088803,4.529510667983239e-06
dinov2_l,4,6,0.006288418673026364,-0.001285112766697738
dinov2_l,8,6,0.009340124556970515,-0.0017967662917439675
