model,removed_rank,monitor_script_auc,effective_monitor_auc
dinov2_s,41,0.46814814814814815,0.5318518518518518
dinov2_s,42,0.5096296296296297,0.5096296296296297
dinov2_s,43,0.5051851851851852,0.5051851851851852
dinov2_s,44,0.45222222222222225,0.5477777777777777
dinov2_s,45,0.4665432098765432,0.5334567901234568
dinov2_s,46,0.5166666666666666,0.5166666666666666
dinov2_s,47,0.48432098765432097,0.515679012345679
dinov2_s,48,0.49283950617283956,0.5071604938271604
dinov2_s,49,0.5581481481481482,0.5581481481481482
dinov2_s,50,0.5127160493827161,0.5127160493827161
dinov2_s,51,0.5155555555555555,0.5155555555555555
dinov2_s,52,0.5079012345679013,0.5079012345679013
dinov2_s,53,0.44395061728395063,0.5560493827160493
dinov2_s,54,0.5565432098765433,0.5565432098765433
dinov2_s,55,0.4838271604938272,0.5161728395061729
dinov2_s,56,0.5181481481481481,0.5181481481481481
dinov2_b,0,1.0,1.0
dinov2_b,1,0.23234567901234565,0.7676543209876543
dinov2_b,2,0.20765432098765432,0.7923456790123456
dinov2_b,3,0.41617283950617284,0.5838271604938272
dinov2_b,4,0.4496296296296296,0.5503703703703704
dinov2_b,5,0.4712345679012345,0.5287654320987655
dinov2_b,6,0.5018518518518519,0.5018518518518519
dinov2_b,7,0.4530864197530864,0.5469135802469136
dinov2_b,8,0.4225925925925925,0.5774074074074075
dinov2_b,9,0.5566666666666666,0.5566666666666666
dinov2_b,10,0.5041975308641975,0.5041975308641975
dinov2_b,11,0.505679012345679,0.505679012345679
dinov2_b,12,0.4603703703703704,0.5396296296296297
dinov2_b,13,0.42506172839506173,0.5749382716049383
dinov2_b,14,0.5128395061728396,0.5128395061728396
dinov2_b,15,0.531358024691358,0.531358024691358
dinov2_b,16,0.4971604938271605,0.5028395061728395
dinov2_b,17,0.4348148148148148,0.5651851851851852
dinov2_b,18,0.5435802469135803,0.5435802469135803
dinov2_b,19,0.5185185185185186,0.5185185185185186
dinov2_b,20,0.5214814814814814,0.5214814814814814
dinov2_b,21,0.5203703703703704,0.5203703703703704
dinov2_b,22,0.5288888888888889,0.5288888888888889
dinov2_b,23,0.43296296296296294,0.567037037037037
dinov2_b,24,0.5755555555555556,0.5755555555555556
dinov2_b,25,0.4434567901234568,0.5565432098765433
dinov2_b,26,0.4487654320987654,0.5512345679012346
dinov2_b,27,0.4909876543209877,0.5090123456790123
dinov2_b,28,0.4304938271604939,0.5695061728395061
dinov2_b,29,0.4791358024691358,0.5208641975308642
dinov2_b,30,0.5325925925925926,0.5325925925925926
dinov2_b,31,0.4623456790123457,0.5376543209876543
dinov2_b,32,0.5925925925925924,0.5925925925925924
dinov2_b,33,0.4586419753086419,0.5413580246913581
dinov2_b,34,0.508641975308642,0.508641975308642
dinov2_b,35,0.5080246913580246,0.5080246913580246
dinov2_b,36,0.5195061728395063,0.5195061728395063
dinov2_b,37,0.5145679012345679,0.5145679012345679
dinov2_b,38,0.4695061728395062,0.5304938271604938
dinov2_b,39,0.5296296296296297,0.5296296296296297
dinov2_b,40,0.5067901234567901,0.5067901234567901
dinov2_b,41,0.4534567901234568,0.5465432098765433
dinov2_b,42,0.49074074074074076,0.5092592592592593
dinov2_b,43,0.5335802469135802,0.5335802469135802
dinov2_b,44,0.4991358024691358,0.5008641975308642
dinov2_b,45,0.5161728395061729,0.5161728395061729
dinov2_b,46,0.49703703703703705,0.502962962962963
dinov2_b,47,0.48456790123456794,0.5154320987654321
dinov2_b,48,0.4901234567901234,0.5098765432098766
dinov2_b,49,0.4822222222222222,0.5177777777777778
dinov2_b,50,0.5306172839506174,0.5306172839506174
dinov2_b,51,0.478395061728395,0.521604938271605
dinov2_b,52,0.5080246913580246,0.5080246913580246
dinov2_b,53,0.4553086419753087,0.5446913580246913
dinov2_b,54,0.45654320987654323,0.5434567901234568
dinov2_b,55,0.49135802469135803,0.508641975308642
dinov2_b,56,0.5128395061728396,0.5128395061728396
dinov2_l,0,0.9998765432098766,0.9998765432098766
dinov2_l,1,0.31679012345679014,0.6832098765432099
dinov2_l,2,0.3897530864197531,0.6102469135802469
dinov2_l,3,0.43135802469135803,0.568641975308642
dinov2_l,4,0.4902469135802469,0.509753086419753
dinov2_l,5,0.5125925925925926,0.5125925925925926
dinov2_l,6,0.4691358024691358,0.5308641975308642
dinov2_l,7,0.4480246913580247,0.5519753086419753
dinov2_l,8,0.4754320987654321,0.5245679012345679
