rank,linear_validation,finetuned_validation,linear_test,finetuned_test
105,74.77876106194691,77.87610619469027,77.43362831858407,76.10619469026548
106,75.66371681415929,77.87610619469027,77.43362831858407,76.10619469026548
107,76.54867256637168,78.31858407079646,77.87610619469027,77.43362831858407
108,76.54867256637168,78.31858407079646,78.31858407079646,77.43362831858407
109,76.99115044247787,78.76106194690266,78.31858407079646,77.87610619469027
110,77.87610619469027,78.76106194690266,78.31858407079646,77.87610619469027
111,77.87610619469027,78.76106194690266,78.31858407079646,77.87610619469027
112,78.31858407079646,78.76106194690266,78.31858407079646,78.31858407079646
113,78.31858407079646,78.76106194690266,78.31858407079646,79.64601769911505
114,78.31858407079646,79.64601769911505,78.76106194690266,79.64601769911505
115,78.31858407079646,80.53097345132744,78.76106194690266,80.08849557522124
116,78.76106194690266,80.97345132743364,79.64601769911505,80.08849557522124
117,78.76106194690266,80.97345132743364,80.08849557522124,80.97345132743364
118,78.76106194690266,80.97345132743364,80.08849557522124,80.97345132743364
119,78.76106194690266,80.97345132743364,80.08849557522124,81.41592920353983
120,79.20353982300885,80.97345132743364,80.97345132743364,81.85840707964603
121,79.20353982300885,81.41592920353983,80.97345132743364,82.30088495575221
122,79.20353982300885,81.41592920353983,80.97345132743364,83.1858407079646
123,79.64601769911505,81.41592920353983,81.41592920353983,83.1858407079646
124,80.08849557522124,81.85840707964603,81.41592920353983,83.1858407079646
125,80.08849557522124,82.30088495575221,81.41592920353983,83.1858407079646
126,80.08849557522124,82.7433628318584,81.85840707964603,83.6283185840708
127,80.08849557522124,83.6283185840708,82.30088495575221,84.070796460177
128,80.08849557522124,83.6283185840708,83.1858407079646,84.070796460177
129,80.08849557522124,83.6283185840708,83.6283185840708,84.070796460177
130,80.08849557522124,83.6283185840708,83.6283185840708,84.51327433628319
131,80.53097345132744,83.6283185840708,84.070796460177,84.51327433628319
132,80.53097345132744,83.6283185840708,84.51327433628319,84.95575221238938
133,80.53097345132744,83.6283185840708,84.51327433628319,85.39823008849558
134,80.53097345132744,83.6283185840708,84.95575221238938,85.39823008849558
135,80.53097345132744,84.070796460177,84.95575221238938,85.39823008849558
136,80.53097345132744,84.070796460177,85.39823008849558,85.39823008849558
137,81.41592920353983,84.070796460177,85.39823008849558,85.84070796460178
138,81.41592920353983,84.070796460177,85.39823008849558,86.28318584070797
139,81.85840707964603,84.070796460177,85.39823008849558,86.72566371681415
140,82.30088495575221,84.51327433628319,85.39823008849558,86.72566371681415
141,82.30088495575221,85.39823008849558,85.39823008849558,87.61061946902655
142,82.30088495575221,85.39823008849558,85.84070796460178,87.61061946902655
143,82.30088495575221,85.84070796460178,85.84070796460178,87.61061946902655
144,83.1858407079646,86.28318584070797,86.28318584070797,87.61061946902655
145,83.1858407079646,86.28318584070797,86.28318584070797,88.05309734513274
146,83.1858407079646,87.16814159292035,86.28318584070797,88.49557522123894
147,83.1858407079646,87.61061946902655,86.28318584070797,88.49557522123894
148,83.1858407079646,87.61061946902655,86.28318584070797,88.93805309734513
149,83.1858407079646,88.05309734513274,86.28318584070797,89.38053097345133
150,83.6283185840708,88.05309734513274,86.28318584070797,89.38053097345133
151,83.6283185840708,88.05309734513274,86.28318584070797,90.2654867256637
152,84.070796460177,88.05309734513274,86.72566371681415,90.2654867256637
153,84.95575221238938,88.05309734513274,87.16814159292035,90.2654867256637
154,85.39823008849558,88.49557522123894,88.05309734513274,90.2654867256637
155,86.28318584070797,88.49557522123894,88.93805309734513,90.2654867256637
156,86.72566371681415,88.49557522123894,88.93805309734513,90.2654867256637
157,87.16814159292035,88.93805309734513,89.38053097345133,90.2654867256637
158,87.16814159292035,89.38053097345133,89.38053097345133,90.7079646017699
159,87.16814159292035,89.38053097345133,89.82300884955751,91.5929203539823
160,87.61061946902655,89.82300884955751,89.82300884955751,92.03539823008849
