epoch,batch,condition,batch_size,confirmed_margins,possible_margins,confirmation_rate,zero_confirmed
6,3,cross_same_same,8,16,16,1.0,False
6,4,cross_variable_variable,8,16,16,1.0,False
6,4,cross_variable_same,8,16,16,1.0,False
6,4,cross_same_variable,8,16,16,1.0,False
6,4,cross_same_same,8,16,16,1.0,False
6,5,cross_variable_variable,8,16,16,1.0,False
6,5,cross_variable_same,8,16,16,1.0,False
6,5,cross_same_variable,8,16,16,1.0,False
6,5,cross_same_same,8,16,16,1.0,False
6,6,cross_variable_variable,8,16,16,1.0,False
6,6,cross_variable_same,8,16,16,1.0,False
6,6,cross_same_variable,8,16,16,1.0,False
6,6,cross_same_same,8,16,16,1.0,False
6,7,cross_variable_variable,8,16,16,1.0,False
6,7,cross_variable_same,8,16,16,1.0,False
6,7,cross_same_variable,8,16,16,1.0,False
6,7,cross_same_same,8,16,16,1.0,False
6,8,cross_variable_variable,8,16,16,1.0,False
6,8,cross_variable_same,8,15,16,0.9375,False
6,8,cross_same_variable,8,16,16,1.0,False
6,8,cross_same_same,8,16,16,1.0,False
6,9,cross_variable_variable,8,16,16,1.0,False
6,9,cross_variable_same,8,16,16,1.0,False
6,9,cross_same_variable,8,16,16,1.0,False
6,9,cross_same_same,8,16,16,1.0,False
6,10,cross_variable_variable,8,16,16,1.0,False
6,10,cross_variable_same,8,16,16,1.0,False
6,10,cross_same_variable,8,16,16,1.0,False
6,10,cross_same_same,8,16,16,1.0,False
6,11,cross_variable_variable,8,16,16,1.0,False
6,11,cross_variable_same,8,16,16,1.0,False
6,11,cross_same_variable,8,16,16,1.0,False
6,11,cross_same_same,8,16,16,1.0,False
6,12,cross_variable_variable,8,16,16,1.0,False
6,12,cross_variable_same,8,16,16,1.0,False
6,12,cross_same_variable,8,16,16,1.0,False
6,12,cross_same_same,8,16,16,1.0,False
6,13,cross_variable_variable,8,16,16,1.0,False
6,13,cross_variable_same,8,16,16,1.0,False
6,13,cross_same_variable,8,16,16,1.0,False
6,13,cross_same_same,8,16,16,1.0,False
6,14,cross_variable_variable,8,16,16,1.0,False
6,14,cross_variable_same,8,16,16,1.0,False
6,14,cross_same_variable,8,16,16,1.0,False
6,14,cross_same_same,8,16,16,1.0,False
6,15,cross_variable_variable,8,16,16,1.0,False
6,15,cross_variable_same,8,16,16,1.0,False
6,15,cross_same_variable,8,16,16,1.0,False
6,15,cross_same_same,8,16,16,1.0,False
6,16,cross_variable_variable,8,16,16,1.0,False
6,16,cross_variable_same,8,16,16,1.0,False
6,16,cross_same_variable,8,16,16,1.0,False
6,16,cross_same_same,8,16,16,1.0,False
6,17,cross_variable_variable,8,16,16,1.0,False
6,17,cross_variable_same,8,16,16,1.0,False
6,17,cross_same_variable,8,16,16,1.0,False
6,17,cross_same_same,8,16,16,1.0,False
6,18,cross_variable_variable,9,18,18,1.0,False
6,18,cross_variable_same,9,18,18,1.0,False
6,18,cross_same_variable,9,18,18,1.0,False
6,18,cross_same_same,9,18,18,1.0,False
7,1,cross_variable_variable,8,16,16,1.0,False
7,1,cross_variable_same,8,16,16,1.0,False
7,1,cross_same_variable,8,16,16,1.0,False
7,1,cross_same_same,8,16,16,1.0,False
7,2,cross_variable_variable,8,16,16,1.0,False
7,2,cross_variable_same,8,16,16,1.0,False
7,2,cross_same_variable,8,16,16,1.0,False
7,2,cross_same_same,8,16,16,1.0,False
7,3,cross_variable_variable,8,16,16,1.0,False
7,3,cross_variable_same,8,16,16,1.0,False
7,3,cross_same_variable,8,16,16,1.0,False
7,3,cross_same_same,8,16,16,1.0,False
7,4,cross_variable_variable,8,16,16,1.0,False
7,4,cross_variable_same,8,15,16,0.9375,False
7,4,cross_same_variable,8,16,16,1.0,False
7,4,cross_same_same,8,16,16,1.0,False
7,5,cross_variable_variable,8,16,16,1.0,False
7,5,cross_variable_same,8,16,16,1.0,False
7,5,cross_same_variable,8,16,16,1.0,False
7,5,cross_same_same,8,16,16,1.0,False
7,6,cross_variable_variable,8,16,16,1.0,False
7,6,cross_variable_same,8,16,16,1.0,False
7,6,cross_same_variable,8,16,16,1.0,False
7,6,cross_same_same,8,16,16,1.0,False
7,7,cross_variable_variable,8,16,16,1.0,False
7,7,cross_variable_same,8,16,16,1.0,False
7,7,cross_same_variable,8,16,16,1.0,False
7,7,cross_same_same,8,16,16,1.0,False
7,8,cross_variable_variable,8,16,16,1.0,False
7,8,cross_variable_same,8,16,16,1.0,False
7,8,cross_same_variable,8,16,16,1.0,False
7,8,cross_same_same,8,16,16,1.0,False
7,9,cross_variable_variable,8,16,16,1.0,False
7,9,cross_variable_same,8,16,16,1.0,False
7,9,cross_same_variable,8,16,16,1.0,False
7,9,cross_same_same,8,16,16,1.0,False
7,10,cross_variable_variable,8,16,16,1.0,False
7,10,cross_variable_same,8,16,16,1.0,False
7,10,cross_same_variable,8,16,16,1.0,False
7,10,cross_same_same,8,16,16,1.0,False
7,11,cross_variable_variable,8,16,16,1.0,False
7,11,cross_variable_same,8,16,16,1.0,False
7,11,cross_same_variable,8,16,16,1.0,False
7,11,cross_same_same,8,16,16,1.0,False
7,12,cross_variable_variable,8,16,16,1.0,False
7,12,cross_variable_same,8,16,16,1.0,False
7,12,cross_same_variable,8,16,16,1.0,False
7,12,cross_same_same,8,16,16,1.0,False
7,13,cross_variable_variable,8,16,16,1.0,False
7,13,cross_variable_same,8,16,16,1.0,False
7,13,cross_same_variable,8,16,16,1.0,False
7,13,cross_same_same,8,16,16,1.0,False
7,14,cross_variable_variable,8,16,16,1.0,False
7,14,cross_variable_same,8,16,16,1.0,False
7,14,cross_same_variable,8,16,16,1.0,False
7,14,cross_same_same,8,16,16,1.0,False
7,15,cross_variable_variable,8,16,16,1.0,False
7,15,cross_variable_same,8,16,16,1.0,False
7,15,cross_same_variable,8,16,16,1.0,False
7,15,cross_same_same,8,16,16,1.0,False
7,16,cross_variable_variable,8,16,16,1.0,False
7,16,cross_variable_same,8,16,16,1.0,False
7,16,cross_same_variable,8,16,16,1.0,False
7,16,cross_same_same,8,16,16,1.0,False
7,17,cross_variable_variable,8,16,16,1.0,False
7,17,cross_variable_same,8,16,16,1.0,False
7,17,cross_same_variable,8,16,16,1.0,False
7,17,cross_same_same,8,16,16,1.0,False
7,18,cross_variable_variable,9,18,18,1.0,False
7,18,cross_variable_same,9,18,18,1.0,False
7,18,cross_same_variable,9,18,18,1.0,False
7,18,cross_same_same,9,18,18,1.0,False
8,1,cross_variable_variable,8,16,16,1.0,False
8,1,cross_variable_same,8,16,16,1.0,False
8,1,cross_same_variable,8,16,16,1.0,False
8,1,cross_same_same,8,16,16,1.0,False
8,2,cross_variable_variable,8,16,16,1.0,False
8,2,cross_variable_same,8,16,16,1.0,False
8,2,cross_same_variable,8,16,16,1.0,False
8,2,cross_same_same,8,16,16,1.0,False
8,3,cross_variable_variable,8,16,16,1.0,False
8,3,cross_variable_same,8,16,16,1.0,False
8,3,cross_same_variable,8,16,16,1.0,False
8,3,cross_same_same,8,16,16,1.0,False
8,4,cross_variable_variable,8,16,16,1.0,False
8,4,cross_variable_same,8,16,16,1.0,False
8,4,cross_same_variable,8,16,16,1.0,False
8,4,cross_same_same,8,16,16,1.0,False
8,5,cross_variable_variable,8,16,16,1.0,False
8,5,cross_variable_same,8,16,16,1.0,False
8,5,cross_same_variable,8,16,16,1.0,False
8,5,cross_same_same,8,16,16,1.0,False
8,6,cross_variable_variable,8,15,16,0.9375,False
8,6,cross_variable_same,8,16,16,1.0,False
8,6,cross_same_variable,8,16,16,1.0,False
8,6,cross_same_same,8,16,16,1.0,False
8,7,cross_variable_variable,8,16,16,1.0,False
8,7,cross_variable_same,8,16,16,1.0,False
8,7,cross_same_variable,8,16,16,1.0,False
8,7,cross_same_same,8,16,16,1.0,False
8,8,cross_variable_variable,8,16,16,1.0,False
8,8,cross_variable_same,8,16,16,1.0,False
8,8,cross_same_variable,8,16,16,1.0,False
8,8,cross_same_same,8,16,16,1.0,False
8,9,cross_variable_variable,8,16,16,1.0,False
8,9,cross_variable_same,8,16,16,1.0,False
8,9,cross_same_variable,8,16,16,1.0,False
8,9,cross_same_same,8,16,16,1.0,False
8,10,cross_variable_variable,8,16,16,1.0,False
8,10,cross_variable_same,8,16,16,1.0,False
8,10,cross_same_variable,8,16,16,1.0,False
8,10,cross_same_same,8,16,16,1.0,False
8,11,cross_variable_variable,8,16,16,1.0,False
8,11,cross_variable_same,8,16,16,1.0,False
8,11,cross_same_variable,8,16,16,1.0,False
8,11,cross_same_same,8,16,16,1.0,False
8,12,cross_variable_variable,8,16,16,1.0,False
8,12,cross_variable_same,8,16,16,1.0,False
8,12,cross_same_variable,8,16,16,1.0,False
8,12,cross_same_same,8,16,16,1.0,False
8,13,cross_variable_variable,8,16,16,1.0,False
8,13,cross_variable_same,8,16,16,1.0,False
8,13,cross_same_variable,8,16,16,1.0,False
8,13,cross_same_same,8,16,16,1.0,False
