trial,fixed_points,raw_mean_alignment_to_fit_direction,raw_median_alignment_to_fit_direction,raw_positive_fraction_to_fit_direction,raw_resultant_length,projected_mean_alignment_to_fit_direction,projected_median_alignment_to_fit_direction,projected_positive_fraction_to_fit_direction,projected_resultant_length
49,0,0.4415934970031089,0.47249948114665297,0.9722222222222222,0.4575119912624359,0.025527307302702654,0.015837714219895153,0.5555555555555556,0.09457974880933762
50,0,0.4304243220269275,0.44070602879169074,0.9722222222222222,0.44640812277793884,0.02774099264054438,0.03822533743928236,0.5833333333333334,0.07838097959756851
51,0,0.4332192698290922,0.47312785459352424,0.9722222222222222,0.44938239455223083,0.026106551482119333,0.029384340016082762,0.5833333333333334,0.07918787002563477
52,0,0.4300320213056153,0.4483991314270782,0.9722222222222222,0.4475514590740204,0.017731313692668654,-0.028621762837131758,0.4722222222222222,0.09710590541362762
53,0,0.4295765646334262,0.46735988276481055,0.9444444444444444,0.4462892413139343,0.02633307194845269,0.02419579494815073,0.5555555555555556,0.1115884780883789
54,0,0.43051902772173956,0.43173955107701567,0.9722222222222222,0.44674673676490784,0.03145753735595948,0.06039201352992929,0.5277777777777778,0.0841149166226387
55,0,0.43006888268305166,0.4961578210032202,0.9444444444444444,0.44658228754997253,0.04488265776083315,0.0603632215446067,0.6111111111111112,0.1036483645439148
56,0,0.4475634576089502,0.4567195081057616,1.0,0.4651123881340027,0.02106090147365178,-0.025967836005070584,0.4722222222222222,0.10333427786827087
57,0,0.4483690942672788,0.4643859136006221,0.9722222222222222,0.4664854407310486,0.02711822481190994,0.06038501933959765,0.6666666666666666,0.09816605597734451
58,0,0.43312116339170426,0.4775726116648127,0.9444444444444444,0.4488215446472168,0.018561704703871314,0.04580287731871184,0.5833333333333334,0.10157451778650284
59,0,0.43015503435080593,0.44166911751721427,1.0,0.44450703263282776,0.025006367030876827,0.03132356656152612,0.5833333333333334,0.07893314212560654
60,0,0.4378596708453615,0.44955221853823335,1.0,0.4532267153263092,0.012753009487242702,0.00928221753529024,0.5,0.09859426319599152
61,0,0.431027829641859,0.4535124285479886,0.9722222222222222,0.4453805983066559,0.02866752319854398,0.026407010670166493,0.5555555555555556,0.09343305975198746
62,0,0.43375182861906436,0.4587049687473904,0.9722222222222222,0.45060446858406067,0.028685543918932927,0.03928802397556316,0.5555555555555556,0.09460311383008957
63,0,0.42968161528530846,0.4317357016642274,1.0,0.4476100206375122,0.03651234296830662,0.019291739463372825,0.5833333333333334,0.08677968382835388
64,0,0.4372774482493615,0.47080739107231795,1.0,0.45443403720855713,0.040361654477082176,0.0801010391741864,0.5833333333333334,0.1125834509730339
65,0,0.43816976570873706,0.45531000711180264,1.0,0.45256882905960083,0.029975948977748954,0.03603510647558414,0.5555555555555556,0.08248347789049149
66,0,0.43695948637485427,0.4487005781276041,0.9722222222222222,0.4525924324989319,0.03166708835347984,0.036931461173867856,0.5555555555555556,0.09019149839878082
67,0,0.45389716776594596,0.497138123569983,0.9722222222222222,0.4700765907764435,0.017259075991311004,-0.03679039966048827,0.4444444444444444,0.0972461923956871
68,0,0.44236440450591386,0.4781556916984589,1.0,0.45673343539237976,0.021409636142823357,-0.002864748957283142,0.4722222222222222,0.10575804114341736
69,0,0.43789951507081076,0.4143041580253288,1.0,0.4528442323207855,0.028531052575673923,0.039511799603397346,0.5555555555555556,0.0944359302520752
70,0,0.4425990872323975,0.4995014730735614,0.9722222222222222,0.458646684885025,0.02914092696624768,0.050072263138347756,0.6111111111111112,0.10708214342594147
71,0,0.4356481144213055,0.48870808081423134,1.0,0.45183122158050537,0.024530043795973986,0.0803615495696686,0.5833333333333334,0.10015058517456055
72,0,0.43284671558481563,0.4630277278309528,0.9722222222222222,0.4509332776069641,0.01140371394292122,0.021023976570678372,0.5555555555555556,0.11236287653446198
73,0,0.4234027548947955,0.42782383497868637,0.9722222222222222,0.43832141160964966,0.022837031427704282,0.04430360730850625,0.5833333333333334,0.08577155321836472
74,0,0.4245676120185615,0.44651037213354017,0.9722222222222222,0.4418717920780182,0.010856836515387668,-0.05016502746160103,0.4722222222222222,0.10175008326768875
75,0,0.4349702471693999,0.4613440931174291,1.0,0.4510248899459839,0.03177329580043612,0.06226317920787884,0.5277777777777778,0.09621326625347137
76,0,0.4334857685956155,0.4233631313148801,0.9722222222222222,0.4493698477745056,0.023733888393135016,0.060171383737266014,0.5555555555555556,0.09012094885110855
77,0,0.44085427342498923,0.4709119499798063,0.9722222222222222,0.456682413816452,0.008396068102604964,0.023730051323870897,0.5555555555555556,0.08877218514680862
78,0,0.4306975691401226,0.4699071500332995,0.9722222222222222,0.4455482065677643,0.03760565560780685,0.038114259340525106,0.6111111111111112,0.10321950167417526
79,0,0.42156174214113384,0.4532651376719949,0.9722222222222222,0.43910327553749084,0.017486896565408156,0.0021768018109281674,0.5,0.09742873162031174
80,0,0.4352137486734837,0.44792505041271863,0.9722222222222222,0.4518885612487793,0.004580210423272806,-0.007273948571415868,0.5,0.09333749860525131
81,0,0.43832137845991864,0.4487509983587262,1.0,0.45557546615600586,0.0091246009093248,0.0077845448788947825,0.5277777777777778,0.09443916380405426
82,0,0.4300276489756281,0.48345312681233354,0.9444444444444444,0.4487660229206085,0.02102709489308115,0.03196188771353186,0.6111111111111112,0.10625370591878891
83,0,0.4358776699025051,0.4859960457187268,0.9722222222222222,0.45229414105415344,0.015125422698146965,0.026733353902230916,0.5833333333333334,0.10372085124254227
84,0,0.41735863395459677,0.4250773545917774,0.9722222222222222,0.43489575386047363,0.01339938098918329,0.022115098602119666,0.5833333333333334,0.0888514444231987
85,0,0.4336452172266302,0.459343789734711,0.9722222222222222,0.4499739110469818,0.025443251602112107,0.034467101945906166,0.5833333333333334,0.09828320890665054
86,0,0.4270032239379062,0.4158116879338573,0.9444444444444444,0.44444024562835693,0.03944391196207411,0.041433445505137195,0.5555555555555556,0.09289868921041489
87,0,0.4298563546365426,0.4680987123888001,0.9722222222222222,0.4456150233745575,0.03026665128923954,-0.0009692413232291778,0.5,0.08345741033554077
88,0,0.4294582859643332,0.43592478778696436,1.0,0.44477182626724243,0.024998942938611976,0.025040089391519617,0.5277777777777778,0.08060086518526077
