split_index,fold,decision,pairs,error_rate,score_auc,script_auc,script_auc_gain,score_aurc,script_aurc,script_aurc_improvement
12,B_to_A,predicted_same,1022,0.9324853228962818,0.633164530012014,0.6240096111440607,-0.009154918867953277,0.8891386392408046,0.8916927746240171,-0.0025541353832124747
12,B_to_A,predicted_different,2114,0.02034058656575213,0.6929693553277262,0.6798984874176053,-0.013070867910120909,0.0087762470132237,0.00918817321117457,-0.0004119261979508692
13,A_to_B,predicted_same,1157,0.9282627484874676,0.6316551120683853,0.6226694487446994,-0.008985663323685888,0.8833584001044426,0.8826895113241138,0.0006688887803287802
13,A_to_B,predicted_different,1979,0.014653865588681153,0.6724314765694076,0.6695844385499558,-0.002847038019451853,0.0068867975386538004,0.006880287136659927,6.510401993873455e-06
13,B_to_A,predicted_same,923,0.9328277356446371,0.6012700910419242,0.6008205012925705,-0.0004495897493537182,0.9063570874682161,0.9065526382287881,-0.00019555076057198306
13,B_to_A,predicted_different,2213,0.022593764121102575,0.6931853906611188,0.6899676375404531,-0.003217753120665745,0.012144991423309751,0.01207897388735014,6.601753595961157e-05
14,A_to_B,predicted_same,1200,0.9291666666666667,0.6123344763914533,0.6118385650224215,-0.0004959113690318206,0.8938962013153203,0.8940736210829722,-0.00017741976765184297
14,A_to_B,predicted_different,1936,0.013946280991735538,0.680266961566071,0.6815280445453311,0.0012610829792600864,0.008691444530607256,0.00862797790234058,6.34666282666764e-05
14,B_to_A,predicted_same,879,0.9271899886234357,0.59375,0.5812691717791411,-0.012480828220858942,0.8962513663531044,0.8936437559629923,0.0026076103901121472
14,B_to_A,predicted_different,2257,0.021267168808152416,0.6405707710879734,0.6363079070469293,-0.004262864041044145,0.011501640875932109,0.01161496094636813,-0.00011332007043602169
15,A_to_B,predicted_same,1403,0.9358517462580185,0.6573834306507573,0.6471693323178471,-0.010214098332910204,0.9009821494510801,0.9009014483029164,8.070114816371987e-05
15,A_to_B,predicted_different,1733,0.012694748990190421,0.6162531215132033,0.5833643270814516,-0.032888794431751744,0.007097085122009848,0.007614362303038009,-0.0005172771810281612
15,B_to_A,predicted_same,672,0.9255952380952381,0.5444694533762058,0.5384565916398714,-0.006012861736334418,0.8914400551917971,0.8949737713157511,-0.0035337161239539228
15,B_to_A,predicted_different,2464,0.025162337662337664,0.7051986248019123,0.6808237758856867,-0.024374848916225655,0.01311975098534478,0.014067811125399373,-0.0009480601400545935
16,A_to_B,predicted_same,1089,0.931129476584022,0.617422748191979,0.6170414201183432,-0.00038132807363577825,0.8914075405068783,0.8935454120060136,-0.0021378714991352465
16,A_to_B,predicted_different,2047,0.0180752320468979,0.7391824660481376,0.7337501680785263,-0.0054322979696113105,0.00626717459335991,0.006376354542760697,-0.0001091799494007872
16,B_to_A,predicted_same,1076,0.9302973977695167,0.5936596736596736,0.5936330336330337,-2.664002663999021e-05,0.901137510020259,0.9014008534350779,-0.0002633434148189284
16,B_to_A,predicted_different,2060,0.017961165048543688,0.6165983086398312,0.6130846615275681,-0.0035136471122630963,0.012742837805057847,0.012740280593304374,2.557211753472649e-06
17,A_to_B,predicted_same,1137,0.9217238346525946,0.6219444206192641,0.618438545329788,-0.0035058752894761014,0.8769338651040536,0.8785011975825753,-0.001567332478521699
17,A_to_B,predicted_different,1999,0.01150575287643822,0.6702825206829782,0.669226368597078,-0.0010561520859002638,0.005819015274579471,0.005819354136494527,-3.3886191505658886e-07
17,B_to_A,predicted_same,977,0.9375639713408394,0.6020831841935714,0.601277829479562,-0.000805354714009443,0.908831577833958,0.9086176344375627,0.00021394339639524418
17,B_to_A,predicted_different,2159,0.023622047244094488,0.6576812888343192,0.6542861926554303,-0.00339509617888889,0.013277702529829342,0.013413270911441498,-0.0001355683816121559
18,A_to_B,predicted_same,1113,0.9263252470799641,0.6349270185233375,0.635317357053299,0.0003903385299613982,0.8839477958540175,0.8834358181490647,0.0005119777049528151
18,A_to_B,predicted_different,2023,0.014829461196243203,0.6109215587890952,0.5850476668339187,-0.02587389195517642,0.01009031327700442,0.010382224126788658,-0.0002919108497842389
18,B_to_A,predicted_same,946,0.9281183932346723,0.5840228460404664,0.5848016883290902,0.0007788422886237933,0.893846919680295,0.8935456581438846,0.0003012615364103022
18,B_to_A,predicted_different,2190,0.02009132420091324,0.7027344742861985,0.6442959417097348,-0.0584385325764637,0.009142041052731196,0.011126805599198993,-0.0019847645464677963
19,A_to_B,predicted_same,1026,0.9298245614035088,0.6026234567901234,0.5997845329606337,-0.0028389238294896924,0.9018228848093761,0.9014455021371784,0.0003773826721976681
19,A_to_B,predicted_different,2110,0.018957345971563982,0.6766304347826086,0.6764492753623188,-0.00018115942028984477,0.011764805249074261,0.011742427404392495,2.2377844681766013e-05
19,B_to_A,predicted_same,1074,0.9283054003724395,0.6286391642459848,0.628495877242116,-0.00014328700386878612,0.8837512365059268,0.8831787489276397,0.0005724875782870953
19,B_to_A,predicted_different,2062,0.01697381183317168,0.6837127352174219,0.6823877651702024,-0.0013249700472195425,0.007251458765031688,0.007327364329578265,-7.590556454657726e-05
